trial,t_us,phase,x_cm,y_cm,ax,ay,az,,,,,
1,2184184,2,12.5,9.5,1524,16288,-1500,,,,,
1,2186184,2,12.5,9.5,1544,16372,-1516,,,,,
1,2189184,2,12.5,9.5,1532,16340,-1524,,,,,
1,2191184,2,12.5,9.5,1736,16364,-1636,,,,,
1,2194184,2,12.5,9.5,1736,16164,-1400,,,,,
1,2196184,2,12.5,9.5,1452,16112,-1528,,,,,
1,2199183,2,12.5,9.5,1408,16080,-1712,,,,,
1,2201184,2,12.5,9.5,2024,16080,-1532,,,,,
1,2204184,2,12.5,9.5,1820,16060,-1668,,,,,
1,2206183,2,12.5,9.5,1380,16100,-1900,,,,,
1,2209184,2,12.5,9.5,1724,16132,-1688,,,,,
1,2211184,2,12.5,9.5,1648,16084,-1712,,,,,
1,2214184,2,12.5,9.5,1760,16128,-1648,,,,,
1,2216184,2,12.5,9.5,1236,16108,-1816,,,,,
1,2219184,2,12.5,9.5,1856,16356,-1700,,,,,
1,2221184,2,12.5,9.5,1512,16164,-1824,,,,,
1,2224184,2,12.5,9.5,1460,16348,-1696,,,,,
1,2226184,2,12.5,9.5,1788,16336,-1576,,,,,
1,2229184,2,12.5,9.5,1792,16520,-1560,,,,,
1,2231184,2,12.5,9.5,1720,16356,-1612,,,,,
1,2234184,2,12.5,9.5,1508,16312,-1568,,,,,
1,2236184,2,12.5,9.5,1948,16464,-1704,,,,,
1,2239184,2,12.5,9.5,1956,16260,-1772,,,,,
1,2241184,2,12.5,9.5,1596,16172,-1676,,,,,
1,2244184,2,12.5,9.5,1412,16084,-1800,,,,,
1,2246184,2,12.5,9.5,1888,16160,-1556,,,,,
1,2249184,2,12.5,9.5,1832,16220,-1556,,,,,
1,2251184,2,12.5,9.5,1796,16088,-1572,,,,,
1,2254184,2,12.5,9.5,1812,16132,-1820,,,,,
1,2256184,2,12.5,9.5,1692,16312,-1628,,,,,
1,2259184,2,12.5,9.5,1820,16276,-1784,,,,,
1,2261184,2,12.5,9.5,1528,16316,-1572,,,,,
1,2264184,2,12.5,9.5,1656,16228,-1584,,,,,
1,2266184,2,12.5,9.5,1200,16228,-1708,,,,,
1,2269184,2,12.5,9.5,1488,16288,-1844,,,,,
1,2271184,2,12.5,9.5,1672,16176,-1724,,,,,
1,2274184,2,12.5,9.5,1560,16104,-1720,,,,,
1,2276184,2,12.5,9.5,1716,16112,-1760,,,,,
1,2279184,2,12.5,9.5,1800,16108,-1696,,,,,
1,2281184,2,12.5,9.5,1688,16108,-1764,,,,,
1,2284184,2,12.5,9.5,1624,16148,-1752,,,,,
1,2286183,2,12.5,9.5,1872,16156,-1776,,,,,
1,2289184,2,12.5,9.5,1780,16288,-1728,,,,,
1,2291184,2,12.5,9.5,1932,16176,-1688,,,,,
1,2294184,2,12.5,9.5,1692,16312,-1468,,,,,
1,2296183,2,12.5,9.5,1792,16332,-1660,,,,,
1,2299184,2,12.5,9.5,1632,16392,-1648,,,,,
1,2301184,2,12.5,9.5,1724,16340,-1440,,,,,
1,2304183,2,12.5,9.5,1564,16284,-1608,,,,,
1,2306184,2,12.5,9.5,1968,16280,-1572,,,,,
1,2309184,2,12.5,9.5,1796,16284,-1636,,,,,
1,2311184,2,12.5,9.5,1680,16216,-1760,,,,,
1,2314184,2,12.5,9.5,1872,16260,-1724,,,,,
1,2316184,2,12.5,9.5,1452,16104,-1760,,,,,
1,2319184,2,12.5,9.5,1508,16116,-1856,,,,,
