t_us,phase,ax,ay,az
783458,1,4384,16664,-3380
785956,1,4764,15852,-512
788460,1,4912,16160,-1660
790958,1,6832,15976,1376
793458,1,2332,17832,-3280
795960,1,5492,15844,2336
798458,1,-1584,17232,-2944
800958,1,8108,15912,1744
803458,1,5432,15516,1628
805958,1,2800,16564,-592
808458,1,4704,15788,612
810957,1,4232,14088,1824
813457,1,7320,18972,-1556
815958,1,2412,15696,880
818458,1,3104,16736,-96
820958,1,5480,20200,-2464
823458,1,5636,15236,2948
825958,1,4624,17088,16
828461,1,920,17288,-196
830956,1,5128,12784,3472
833457,1,8236,16456,284
835958,1,2104,14168,3048
838456,1,2560,17528,-1500
840958,1,8764,14404,4804
843456,1,2192,16216,-532
845958,1,8588,16892,368
848456,1,-1368,13348,-588
850958,1,8952,15860,1008
853456,1,3440,17036,-2876
855958,1,4312,14172,2612
858456,1,40,17808,-3864
860958,1,1724,15992,-156
863456,1,-1076,16068,-944
865957,1,-1744,16340,-2428
868456,1,2944,14416,1480
870958,1,1744,15076,-1428
873456,1,2876,15748,-2160
875958,1,4044,14288,-1088
878456,1,4112,15532,-2368
880958,1,3496,15588,-2276
883456,1,5724,14888,-828
885958,1,3412,16220,-3304
888456,1,3176,15580,-1000
890958,1,-292,16648,-3064
893456,1,3156,15292,-372
895958,1,-4004,17032,-3692
898456,1,2648,16556,92
900958,1,4816,16084,1096
903456,1,996,16444,-1244
905958,1,7056,15688,1788
908456,1,1108,14952,-640
910958,1,7556,16108,40
913456,1,2336,16216,-1484
915957,1,5264,15272,388
918456,1,912,18424,-3972
920958,1,4372,14256,1592
923456,1,-12,17016,-2708
925958,1,2904,15100,212
928456,1,-2916,16808,-3188
930958,1,5492,15364,1780
933456,1,5732,16232,576
935958,1,2448,16312,-856
938456,1,6576,17056,336
940958,1,1532,16048,-1116
943456,1,7076,16836,-1232
945958,1,556,15872,-1536
948456,1,3180,16128,-900
950958,1,1472,17256,-2028
953456,1,2996,16132,-292
955958,1,-1820,17620,-3180
958456,1,1060,14952,-776
960958,1,3544,16356,-456
963456,1,3108,14460,272
965958,1,7812,14664,1020
968456,1,-1620,15152,-3052
970958,1,8548,15576,104
973456,1,1072,16532,-2848
975958,1,6484,15492,-392
978456,1,812,16368,-2896
980958,1,4944,16596,-1552
983456,1,-1284,16944,-3456
985958,1,3932,14252,980
988456,1,-2832,17780,-5392
990958,1,352,14852,368
993456,1,5424,16956,16
995958,1,1888,17420,-1792
998456,1,4988,16408,204
1000958,1,3048,16344,-1700
1003456,1,2936,14720,276
1005958,1,3640,16520,-1668
1008456,1,5060,15756,-864
1010958,1,12,16288,-2372
1013456,1,4344,16668,-1708
1015958,1,-1524,17968,-3920
1018456,1,4200,17128,-764
1020958,1,-2140,17660,-4308
1023456,1,2760,16340,136
1025958,1,5552,16796,352
1028456,1,3476,16472,424
1030958,1,6636,16964,1108
1033456,1,1136,17316,-2092
1035958,1,6844,15568,2824
1038456,1,-152,17588,-2640
1040958,1,4012,16044,648
1043456,1,-824,16320,-1452
1045958,1,1216,16576,-1836
1048456,1,528,17484,-3064
1050958,1,164,14980,-492
1053456,1,-1808,17468,-5036
1055958,1,780,14572,-904
1058456,1,4744,15744,-468
1060958,1,192,16192,-2368
1063456,1,6148,14052,2712
