trial,t_us,phase,x_cm,y_cm,ax,ay,az,,,,,,,
1,370186,0,22.200,4.500,1584,16356,-1460,,,,,,,
1,373186,0,22.200,4.500,1712,16324,-1440,,,,,,,
1,375186,0,22.200,4.500,1616,16296,-1604,,,,,,,
1,378186,0,22.200,4.500,1716,16196,-1784,,,,,,,
1,380186,0,22.200,4.500,1556,16184,-1544,,,,,,,
1,383186,0,22.200,4.500,1516,16200,-1736,,,,,,,
1,385186,0,22.200,4.500,1508,16196,-1668,,,,,,,
1,388186,0,22.200,4.500,1476,16204,-1728,,,,,,,
1,390186,0,22.200,4.500,1488,16204,-1816,,,,,,,
1,393186,0,22.200,4.500,1384,16224,-1712,,,,,,,
1,395186,0,22.200,4.500,1456,16120,-1724,,,,,,,
1,398186,0,22.200,4.500,1500,16192,-1792,,,,,,,
1,400186,0,22.200,4.500,1556,16320,-1776,,,,,,,
1,403186,0,22.200,4.500,1500,16208,-1468,,,,,,,
1,405186,0,22.200,4.500,1696,16316,-1468,,,,,,,
1,408186,0,22.200,4.500,1736,16396,-1396,,,,,,,
1,410186,0,22.200,4.500,1524,16240,-1492,,,,,,,
1,413186,0,22.200,4.500,1636,16300,-1616,,,,,,,
1,415186,0,22.200,4.500,1592,16236,-1592,,,,,,,
1,418186,0,22.200,4.500,1608,16208,-1656,,,,,,,
1,420186,0,22.200,4.500,1556,16320,-1820,,,,,,,
1,423186,0,22.200,4.500,1480,16228,-1748,,,,,,,
1,425186,0,22.200,4.500,1468,16220,-1672,,,,,,,
1,428186,0,22.200,4.500,1476,16304,-1656,,,,,,,
1,430186,0,22.200,4.500,1436,16208,-1652,,,,,,,
1,433186,0,22.200,4.500,1604,16220,-1824,,,,,,,
1,435186,0,22.200,4.500,1596,16232,-1616,,,,,,,
1,438186,0,22.200,4.500,1604,16208,-1628,,,,,,,
1,440186,0,22.200,4.500,1700,16280,-1540,,,,,,,
1,443186,0,22.200,4.500,1620,16144,-1572,,,,,,,
1,445186,0,22.200,4.500,1584,16232,-1644,,,,,,,
1,448186,0,22.200,4.500,1700,16344,-1564,,,,,,,
1,450186,0,22.200,4.500,1576,16260,-1552,,,,,,,
